# vim92.tsv: what vim 9.2 says every one of these patterns matches.
#
# Generated by testdata/regex/extract. Do not edit by hand; add a case to
# testdata/regex/extract/cases.go and regenerate:
#
#	go run ./testdata/regex/extract
#
# Oracle: /opt/homebrew/bin/vim - VIM - Vi IMproved 9.2 (2026 Feb 14, compiled Apr 08 2026 05:28:52), Included patches: 1-321
#
# Columns, tab separated, five of them:
#
#	1 pattern       the vim pattern
#	2 input         the string it was run against
#	3 match-start   byte offset of the match, -1 for no match
#	4 match-text    the text that matched, empty when there was none
#	5 tag           empty, or "refused"
#
# Tabs, newlines, carriage returns, escapes and backslashes in columns 1, 2 and
# 4 are written \t \n \r \e \\ so that every row is one line.
#
# A row tagged "refused" is a pattern vim runs and pvim will not: the test
# asserts that internal/regex returns the error type for that atom, and column 3
# and 4 record what vim did with it so that the day the atom gets an
# implementation the expectation is already written down.
#
# How the rows were sourced, and this is the part that matters when a row looks
# wrong:
#
#	generated/classes     312 rows  every character class against twelve probe characters, generated
#	generated/atoms       204 rows  one row per behaviour of every atom the translator handles, generated
#	generated/refused      30 rows  the atoms pvim refuses; vim's answer is recorded, the test asserts the error type
#	hand/vimrc             26 rows  every regex in ~/.vimrc, by hand
#	total                 572 rows
#
# Two sources are not here, and both are absences rather than omissions:
#
#   - vim's own test suite. test_regexp_latin.vim and test_regexp_utf8.vim
#     carry a few hundred triples, and neither is on this machine: the Homebrew
#     macvim 9.2.0321 formula installs the runtime files and not src/testdir,
#     /opt/homebrew/share/vim is empty, and a search of the filesystem found
#     nothing. If a vim source tree ever appears, its triples belong in a
#     section of their own here.
#
#   - the four nofrils colourscheme files. They were read and they contain no
#     regular expressions at all: 130 hi lines, four if/exists guards and two
#     function bodies that call :hi, and not one pattern between them. There is
#     nothing to extract.
#
# Two things about the oracle itself, because they decide which rows can exist:
#
#   - vim answers through match() and matchstr() over a String, where a line
#     break is an ordinary character. In a buffer it is not: there, "." and the
#     negated classes stop at the end of a line and "^" and "$" anchor to one.
#     So rows whose input contains a line break are only here when both readings
#     give the same answer, which is the \_ forms, \n and the collections. The
#     line-break behaviour of "." and of the anchors is asserted directly in
#     internal/regex's own tests instead.
#
#   - the script runs :s/x/bc/ before the first case, so "~" expands to "bc".
#     Compile the rows with Options{LastSubstitute: "bc"} and everything else
#     zero: 'ignorecase' and 'smartcase' are off and 'magic' is on, which is
#     what --clean gives and what the script sets explicitly anyway.
#
# section: generated/classes (312 rows) - every character class against twelve probe characters, generated
\\s	a	-1		
\\s	Z	-1		
\\s	5	-1		
\\s	_	-1		
\\s	 	0	 	
\\s	\t	0	\t	
\\s	/	-1		
\\s	-	-1		
\\s	#	-1		
\\s	é	-1		
\\s	中	-1		
\\s	Ā	-1		
\\S	a	0	a	
\\S	Z	0	Z	
\\S	5	0	5	
\\S	_	0	_	
\\S	 	-1		
\\S	\t	-1		
\\S	/	0	/	
\\S	-	0	-	
\\S	#	0	#	
\\S	é	0	é	
\\S	中	0	中	
\\S	Ā	0	Ā	
\\d	a	-1		
\\d	Z	-1		
\\d	5	0	5	
\\d	_	-1		
\\d	 	-1		
\\d	\t	-1		
\\d	/	-1		
\\d	-	-1		
\\d	#	-1		
\\d	é	-1		
\\d	中	-1		
\\d	Ā	-1		
\\D	a	0	a	
\\D	Z	0	Z	
\\D	5	-1		
\\D	_	0	_	
\\D	 	0	 	
\\D	\t	0	\t	
\\D	/	0	/	
\\D	-	0	-	
\\D	#	0	#	
\\D	é	0	é	
\\D	中	0	中	
\\D	Ā	0	Ā	
\\x	a	0	a	
\\x	Z	-1		
\\x	5	0	5	
\\x	_	-1		
\\x	 	-1		
\\x	\t	-1		
\\x	/	-1		
\\x	-	-1		
\\x	#	-1		
\\x	é	-1		
\\x	中	-1		
\\x	Ā	-1		
\\X	a	-1		
\\X	Z	0	Z	
\\X	5	-1		
\\X	_	0	_	
\\X	 	0	 	
\\X	\t	0	\t	
\\X	/	0	/	
\\X	-	0	-	
\\X	#	0	#	
\\X	é	0	é	
\\X	中	0	中	
\\X	Ā	0	Ā	
\\o	a	-1		
\\o	Z	-1		
\\o	5	0	5	
\\o	_	-1		
\\o	 	-1		
\\o	\t	-1		
\\o	/	-1		
\\o	-	-1		
\\o	#	-1		
\\o	é	-1		
\\o	中	-1		
\\o	Ā	-1		
\\O	a	0	a	
\\O	Z	0	Z	
\\O	5	-1		
\\O	_	0	_	
\\O	 	0	 	
\\O	\t	0	\t	
\\O	/	0	/	
\\O	-	0	-	
\\O	#	0	#	
\\O	é	0	é	
\\O	中	0	中	
\\O	Ā	0	Ā	
\\w	a	0	a	
\\w	Z	0	Z	
\\w	5	0	5	
\\w	_	0	_	
\\w	 	-1		
\\w	\t	-1		
\\w	/	-1		
\\w	-	-1		
\\w	#	-1		
\\w	é	-1		
\\w	中	-1		
\\w	Ā	-1		
\\W	a	-1		
\\W	Z	-1		
\\W	5	-1		
\\W	_	-1		
\\W	 	0	 	
